feature,mean_abs_shap
dst_port__scaled,1.3122841212250451
src_port__scaled,0.9461839056338973
src_ip_bytes__log1p,0.8504811759304052
conn_state_REJ,0.6831228510356824
duration__log1p,0.6663113950583861
dst_ip_bytes__log1p,0.4067704409105137
src_bytes__log1p,0.313228748109917
src_pkts__log1p,0.30154762424682696
dst_bytes__log1p,0.28133221274774767
proto_tcp,0.23410853734657427
conn_state_S1,0.17761692134999998
dst_pkts__log1p,0.1528777489812182
conn_state_SF,0.14864959189512741
dns_query__freq,0.13575584133427632
conn_state_OTH,0.1177710176789274
service_MISSING_TOKEN,0.09922735751200497
service_http,0.09004736978064774
dns_RA_F,0.08220963306591239
conn_state_S0,0.08058207120994859
conn_state_SH,0.07026903656512608
service_dns,0.06331064905784406
conn_state_S3,0.056695766082481044
dns_qtype__scaled,0.04684098771501924
dns_rejected_T,0.041266902936920306
dns_RA_T,0.03739779132794623
dns_rcode__scaled,0.026417679962068136
dns_RD_F,0.02591074230297211
dns_rejected_F,0.02556685725961916
conn_state_RSTRH,0.018223364184583667
dns_qclass__scaled,0.015936201810317782
proto_udp,0.014361006579280518
dns_RD_MISSING_TOKEN,0.01387781354429044
dns_AA_F,0.013699741162275342
conn_state_RSTR,0.0134111825268991
missed_bytes__log1p,0.01190687568739407
conn_state_SHR,0.011256397181224037
dns_RD_T,0.008001052005008405
conn_state_RSTO,0.006921834094230712
ssl_cipher_MISSING_TOKEN,0.004824054187078432
service_ssl,0.0037067181554766102
conn_state_S2,0.000987434819206842
http_status_code__scaled,0.0009340337322003193
dns_AA_T,0.0009260591805715929
conn_state_RSTOS0,0.0006407333560085739
weird_name_MISSING_TOKEN,0.0005664287236382693
http_trans_depth_MISSING_TOKEN,0.0005661568794729521
http_response_body_len__log1p,0.0004600592076839909
ssl_version_TLSv12,0.0004140015369845912
proto_icmp,0.0004111073570281192
service_dce_rpc,0.00040251358477200655
ssl_cipher_TLS_AES_128_GCM_SHA256,0.00032305019045387686
service_smb,0.0003123331332871717
weird_notice_F,0.0002396156989822801
http_user_agent_MISSING_TOKEN,0.0002057449087480846
service_ftp,0.00020043336425887547
http_version_MISSING_TOKEN,0.0001997638403928171
http_resp_mime_types_text/html,0.00011176630735810322
ssl_resumed_T,4.121219474846313e-05
weird_name_active_connection_reuse,4.052624645815099e-05
ssl_established_T,8.680648905413486e-06
http_uri__freq,8.21430856965684e-06
http_method_GET,5.813833344107163e-06
http_user_agent_Microsoft-Delivery-Optimization/10.0,0.0
http_user_agent_Microsoft-CryptoAPI/10.0,0.0
http_user_agent_DataCha0s/2.0,0.0
http_user_agent_DAFUPnP,0.0
http_user_agent_Comos/0.9_(robot@xyleme.com),0.0
http_request_body_len__log1p,0.0
http_user_agent_Microsoft NCSI,0.0
http_user_agent_Microsoft BITS/7.8,0.0
http_user_agent_MICROSOFT_DEVICE_METADATA_RETRIEVAL_CLIENT,0.0
http_user_agent_Debian APT-HTTP/1.3 (1.7.4),0.0
http_user_agent_Mozilla/4.08 [en] (WinNT; I ;Nav),0.0
http_user_agent_Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:49.0) Gecko/20100101 Firefox/49.0,0.0
weird_name_DNS_RR_unknown_type,0.0
http_user_agent_sqlmap/1.2#stable (http://sqlmap.org),0.0
http_user_agent_hacking,0.0
http_user_agent_Mozilla/1.22 (compatible; MSIE 10.0; Windows 3.1),0.0
http_user_agent_Windows-Update-Agent/10.0.10011.16384 Client-Protocol/1.91,0.0
http_user_agent_Mozilla/5.0 (X11; U; Linux i686; de-DE; rv:1.6) Gecko/20040207 Firefox/0.8,0.0
http_user_agent_Mozilla/5.0 (Windows NT 6.3; rv:36.0) Gecko/20100101 Firefox/36.0,0.0
http_user_agent_Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/53.0.2785.143 Safari/537.36,0.0
http_user_agent_Mozilla/5.0 (Windows NT 6.1; rv:21.0) Gecko/20130401 Firefox/21.0,0.0
http_user_agent_User-Agent: Microsoft-DLNA DLNADOC/1.50,0.0
http_user_agent_Ruby,0.0
http_user_agent_Mozilla/5.0 (iPhone; U; CPU iOS 2_0 like Mac OS X; en-us),0.0
http_user_agent_Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0,0.0
http_user_agent_Microsoft-WNS/10.0,0.0
http_user_agent_Microsoft-Windows/10.0 UPnP/1.0 Microsoft-DLNA DLNADOC/1.50,0.0
http_user_agent_Microsoft-Windows/10.0 UPnP/1.0,0.0
http_resp_mime_types_text/plain,0.0
http_resp_mime_types_image/jpeg,0.0
http_resp_mime_types_image/png,0.0
http_resp_mime_types_text/json,0.0
http_resp_mime_types_MISSING_TOKEN,0.0
http_resp_mime_types_application/ocsp-response,0.0
http_resp_mime_types_application/vnd.ms-cab-compressed,0.0
http_resp_mime_types_application/xml,0.0
http_trans_depth_9,0.0
http_trans_depth_8,0.0
http_trans_depth_7,0.0
http_trans_depth_10,0.0
http_trans_depth_2,0.0
http_trans_depth_3,0.0
http_trans_depth_4,0.0
http_trans_depth_5,0.0
weird_name_dnp3_corrupt_header_checksum,0.0
weird_name_data_before_established,0.0
weird_name_connection_originator_SYN_ack,0.0
weird_name_bad_UDP_checksum,0.0
weird_name_bad_TCP_checksum,0.0
http_trans_depth_1,0.0
weird_name_possible_split_routing,0.0
weird_name_inappropriate_FIN,0.0
weird_name_above_hole_data_without_any_acks,0.0
http_user_agent_Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/53.0.2785.143 Safari/537.36,0.0
ssl_subject_CN=Mr Shepherd;OU=Security Shepherd Project;O=OWASP;L=Dublin;ST=Ireland;C=IE,0.0
ssl_subject_CN=*.wns.windows.com,0.0
ssl_subject_MISSING_TOKEN,0.0
ssl_subject_CN=*.events.data.microsoft.com;OU=Microsoft;O=Microsoft Corporation;L=Redmond;ST=WA;C=US,0.0
service_gssapi,0.0
ssl_subject_CN=settings-win.data.microsoft.com;OU=WSE;O=Microsoft;L=Redmond;ST=WA;C=US,0.0
ssl_version_TLSv13,0.0
ssl_version_TLSv10,0.0
http_method_POST,0.0
ssl_version_MISSING_TOKEN,0.0
http_method_MISSING_TOKEN,0.0
http_method_HEAD,0.0
ssl_issuer_CN=Mr Shepherd;OU=Security Shepherd Project;O=OWASP;L=Dublin;ST=Ireland;C=IE,0.0
ssl_issuer_MISSING_TOKEN,0.0
ssl_cipher_TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,0.0
ssl_issuer_CN=Microsoft IT TLS CA 5;OU=Microsoft IT;O=Microsoft Corporation;L=Redmond;ST=Washington;C=US,0.0
ssl_issuer_CN=Microsoft Update Secure Server CA 2.1;O=Microsoft Corporation;L=Redmond;ST=Washington;C=US,0.0
ssl_issuer_CN=Microsoft Secure Server CA 2011;O=Microsoft Corporation;L=Redmond;ST=Washington;C=US,0.0
ssl_cipher_TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,0.0
ssl_subject_CN=sls.update.microsoft.com;OU=DSP;O=Microsoft;L=Redmond;ST=WA;C=US,0.0
ssl_cipher_TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,0.0
ssl_cipher_TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,0.0
service_smb;gssapi,0.0
ssl_resumed_MISSING_TOKEN,0.0
dns_RA_MISSING_TOKEN,0.0
dns_rejected_MISSING_TOKEN,0.0
dns_AA_MISSING_TOKEN,0.0
ssl_resumed_F,0.0
ssl_established_F,0.0
ssl_established_MISSING_TOKEN,0.0
http_orig_mime_types_MISSING_TOKEN,0.0
weird_addl_MISSING_TOKEN,0.0
weird_addl_48,0.0
weird_addl_46,0.0
http_version_1.1,0.0
http_orig_mime_types_application/xml,0.0
http_orig_mime_types_application/soap+xml,0.0
weird_notice_MISSING_TOKEN,0.0
